0,1,2
0.024862826,0.033958625,0.030113917
0.040345438,0.036841583,0.0458015
0.045719847,0.038929537,0.033594515
0.012745052,0.025431216,0.020733641
0.049490612,0.042227533,0.05743899
0.03645983,0.03649267,0.047359627
0.01203597,0.018700268,0.019464808
0.054651674,0.0662643,0.06423582
0.019139055,0.01094674,0.01833751
0.02308759,0.021648398,0.031080823
0.05066531,0.039402742,0.03917045
0.07503676,0.072493345,0.08265549
0.00796729,0.0036756056,0.0076475595
0.06749255,0.07445084,0.06537083
0.10170056,0.09550082,0.10821999
0.041521203,0.040740762,0.034488928
0.0091600595,0.01675519,0.023432221
0.06603306,0.0734211,0.07840346
0.023307934,0.015224576,0.015669221
0.022304924,0.031387128,0.033990454
0.045896124,0.039291378,0.04606289
0.047877565,0.042275917,0.044996087
0.012178497,0.021742612,0.021926172
0.056691546,0.05476578,0.06739003
0.07090125,0.06698403,0.06775768
0.009475288,0.015019626,0.020725427
0.04562307,0.040468488,0.03967447
0.12876582,0.11566888,0.12226628
0.008955844,0.008696828,0.0062672882
0.07060758,0.053514674,0.07128214
0.08114546,0.08375986,0.08937827
0.012482097,0.014645562,0.0036557093
0.09420826,0.08074145,0.05923043
0.07557619,0.07057046,0.07193951
0.03449135,0.026700102,0.032476876
0.033662844,0.035663433,0.039357286
0.14019223,0.093528755,0.10004115
0.05248508,0.052919585,0.046013914
0.025453541,0.03150465,0.03591022
0.052763086,0.055161674,0.05535854
0.059580702,0.048086517,0.05276926
0.004706505,0.003264537,0.0039429027
0.080791324,0.07086868,0.08553323
0.07191963,0.07024942,0.06943453
0.00834007,0.0087561,0.0055446164
0.07003184,0.06785763,0.07079719
0.072894245,0.07566494,0.07506713
0.019236473,0.012848922,0.021454208
0.06336489,0.07396756,0.067969315
0.09729937,0.10150877,0.1247381
0.06042761,0.058880344,0.050697383
0.043219727,0.07332723,0.06237419
0.0629645,0.07671992,0.07746626
0.060878787,0.059511255,0.06368842
0.013866514,0.019298546,0.014652138
0.07386751,0.078895286,0.0810965
0.07829314,0.07127776,0.08307265
0.010195363,0.007016366,0.0049828636
0.115905076,0.08358281,0.06746667
0.09346686,0.08379611,0.09557257
0.023202911,0.030980181,0.0229909
0.12451467,0.13169149,0.09940705
0.34950998,0.3157657,0.33336735
0.023979416,0.028636023,0.02235854
0.06852877,0.06171189,0.05518358
0.062572084,0.063692935,0.06594918
0.037646297,0.039938092,0.035459273
0.046054214,0.059662756,0.062858015
0.07686025,0.06950642,0.07436313
0.045613952,0.038279038,0.03085979
0.0090572685,0.015335489,0.010815068
0.06637707,0.064531446,0.07593593
0.06798289,0.06941176,0.05928088
0.010206275,0.008067367,0.0026070082
0.14096344,0.13386671,0.1395746
0.23675857,0.20935044,0.2225641
0.0066492343,0.009749773,0.00946082
0.06482153,0.066488564,0.06586552
0.09364179,0.105077304,0.09777345
0.016000487,0.013911925,0.01667026
0.06856416,0.076903775,0.07415553
0.113753624,0.12248389,0.1237768
0.0562852,0.045768637,0.040281985
0.02413764,0.034263995,0.03509934
0.06964274,0.060775787,0.07293675
0.05158734,0.06464966,0.048782986
0.021098673,0.02476565,0.026516004
0.037855882,0.04642099,0.0525406
0.039293263,0.03012263,0.038888946
0.0037561636,0.0023895206,0.011715239
0.071594834,0.06174937,0.066424
0.27181986,0.20725143,0.18593709
0.009613069,0.011558339,0.009709209
0.058679447,0.0650617,0.09152105
0.07813511,0.07832838,0.07959411
0.02913191,0.031878777,0.024854137
0.11001915,0.09190924,0.09053164
0.06801652,0.056746554,0.058466505
